id_municipio,municipio,municipio_cetesb
3500105,Adamantina,ADAMANTINA
3500204,Adolfo,ADOLFO
3500303,Aguaí,AGUAÍ
3500402,Águas da Prata,ÁGUAS DA PRATA
3500501,Águas de Lindóia,ÁGUAS DE LINDÓIA
3500550,Águas de Santa Bárbara,ÁGUAS DE SANTA BÁRBARA
3500600,Águas de São Pedro,ÁGUAS DE SÃO PEDRO
3500709,Agudos,AGUDOS
3500758,Alambari,ALAMBARI
3500808,Alfredo Marcondes,ALFREDO MARCONDES
3500907,Altair,ALTAIR
3501004,Altinópolis,ALTINÓPOLIS
3501103,Alto Alegre,ALTO ALEGRE
3501152,Alumínio,ALUMÍNIO
3501202,Álvares Florence,ÁLVARES FLORENCE
3501301,Álvares Machado,ÁLVARES MACHADO
3501400,Álvaro de Carvalho,ÁLVARO DE CARVALHO
3501509,Alvinlândia,ALVINLÂNDIA
3501608,Americana,AMERICANA
3501707,Américo Brasiliense,AMÉRICO BRASILIENSE
3501806,Américo de Campos,AMÉRICO DE CAMPOS
3501905,Amparo,AMPARO
3502002,Analândia,ANALÂNDIA
3502101,Andradina,ANDRADINA
3502200,Angatuba,ANGATUBA
3502309,Anhembi,ANHEMBI
3502408,Anhumas,ANHUMAS
3502507,Aparecida,APARECIDA
3502606,Aparecida d'Oeste,APARECIDA D`OESTE
3502705,Apiaí,APIAÍ
3502754,Araçariguama,ARAÇARIGUAMA
3502804,Araçatuba,ARAÇATUBA
3502903,Araçoiaba da Serra,ARAÇOIABA DA SERRA
3503000,Aramina,ARAMINA
3503109,Arandu,ARANDU
3503158,Arapeí,ARAPEÍ
3503208,Araraquara,ARARAQUARA
3503307,Araras,ARARAS
3503356,Arco-Íris,ARCO-ÍRIS
3503406,Arealva,AREALVA
3503505,Areias,AREIAS
3503604,Areiópolis,AREIÓPOLIS
3503703,Ariranha,ARIRANHA
3503802,Artur Nogueira,ARTUR NOGUEIRA
3503901,Arujá,ARUJÁ
3503950,Aspásia,ASPÁSIA
3504008,Assis,ASSIS
3504107,Atibaia,ATIBAIA
3504206,Auriflama,AURIFLAMA
3504305,Avaí,AVAÍ
3504404,Avanhandava,AVANHANDAVA
3504503,Avaré,AVARÉ
3504602,Bady Bassitt,BADY BASSITT
3504701,Balbinos,BALBINOS
3504800,Bálsamo,BÁLSAMO
3504909,Bananal,BANANAL
3505005,Barão de Antonina,BARÃO DE ANTONINA
3505104,Barbosa,BARBOSA
3505203,Bariri,BARIRI
3505302,Barra Bonita,BARRA BONITA
3505351,Barra do Chapéu,BARRA DO CHAPÉU
3505401,Barra do Turvo,BARRA DO TURVO
3505500,Barretos,BARRETOS
3505609,Barrinha,BARRINHA
3505708,Barueri,BARUERI
3505807,Bastos,BASTOS
3505906,Batatais,BATATAIS
3506003,Bauru,BAURU
3506102,Bebedouro,BEBEDOURO
3506201,Bento de Abreu,BENTO DE ABREU
3506300,Bernardino de Campos,BERNARDINO DE CAMPOS
3506359,Bertioga,BERTIOGA
3506409,Bilac,BILAC
3506508,Birigui,BIRIGUI
3506607,Biritiba-Mirim,BIRITIBA MIRIM
3506706,Boa Esperança do Sul,BOA ESPERANÇA DO SUL
3506805,Bocaina,BOCAINA
3506904,Bofete,BOFETE
3507001,Boituva,BOITUVA
3507100,Bom Jesus dos Perdões,BOM JESUS DOS PERDÕES
3507159,Bom Sucesso de Itararé,BOM SUCESSO DE ITARARÉ
3507209,Borá,BORÁ
3507308,Boracéia,BORACÉIA
3507407,Borborema,BORBOREMA
3507456,Borebi,BOREBI
3507506,Botucatu,BOTUCATU
3507605,Bragança Paulista,BRAGANÇA PAULISTA
3507704,Braúna,BRAÚNA
3507753,Brejo Alegre,BREJO ALEGRE
3507803,Brodowski,BRODOWSKI
3507902,Brotas,BROTAS
3508009,Buri,BURI
3508108,Buritama,BURITAMA
3508207,Buritizal,BURITIZAL
3508306,Cabrália Paulista,CABRÁLIA PAULISTA
3508405,Cabreúva,CABREÚVA
3508504,Caçapava,CAÇAPAVA
3508603,Cachoeira Paulista,CACHOEIRA PAULISTA
3508702,Caconde,CACONDE
3508801,Cafelândia,CAFELÂNDIA
3508900,Caiabu,CAIABU
3509007,Caieiras,CAIEIRAS
3509106,Caiuá,CAIUÁ
3509205,Cajamar,CAJAMAR
3509254,Cajati,CAJATI
3509304,Cajobi,CAJOBI
3509403,Cajuru,CAJURU
3509452,Campina do Monte Alegre,CAMPINA DO MONTE ALEGRE
3509502,Campinas,CAMPINAS
3509601,Campo Limpo Paulista,CAMPO LIMPO PAULISTA
3509700,Campos do Jordão,CAMPOS DO JORDÃO
3509809,Campos Novos Paulista,CAMPOS NOVOS PAULISTA
3509908,Cananéia,CANANÉIA
3509957,Canas,CANAS
3510005,Cândido Mota,CÂNDIDO MOTA
3510104,Cândido Rodrigues,CÂNDIDO RODRIGUES
3510153,Canitar,CANITAR
3510203,Capão Bonito,CAPÃO BONITO
3510302,Capela do Alto,CAPELA DO ALTO
3510401,Capivari,CAPIVARI
3510500,Caraguatatuba,CARAGUATATUBA
