id_municipio,municipio_nome,municipio_cetesb,agencia,endereco,numero,bairro,municipio_sede,cep,telefone,fax,email,url
3500105,Adamantina,ADAMANTINA,Agência Ambiental de Dracena,Rua Tomé de Souza,438,Centro,Dracena,17900-000,(18) 3822-3166,(18) 3822-3166,dracena_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ADAMANTINA
3500204,Adolfo,ADOLFO,Agência Ambiental de São José do Rio Preto,Av. Floriano André Cabrera,,Res.Cidade Jardim- J.S. Marcos,São José Do Rio Preto,15081-490,(17) 3218-4300,(17) 3218-4300,riopreto_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ADOLFO
3500303,Aguaí,AGUAÍ,Agência Ambiental de São João da Boa Vista,Rua Marechal Deodoro,345,Centro,São João Da Boa Vista,13870-223,(19) 3633-1510,(19) 3633-1510,sjboavista_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=AGUA%CD
3500402,Águas da Prata,ÁGUAS DA PRATA,Agência Ambiental de São João da Boa Vista,Rua Marechal Deodoro,345,Centro,São João Da Boa Vista,13870-223,(19) 3633-1510,(19) 3633-1510,sjboavista_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=%C1GUAS%20DA%20PRATA
3500501,Águas de Lindóia,ÁGUAS DE LINDÓIA,Agência Ambiental de Mogi Guaçu,Rua Hugo Pancieira,400,Pedregulhal,Mogi Guaçu,13845-190,(19) 3818-0396,(19) 3818-0396,mogiguacu_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=%C1GUAS%20DE%20LIND%D3IA
3500550,Águas de Santa Bárbara,ÁGUAS DE SANTA BÁRBARA,Agência Ambiental de Avaré,Av Governador Mário Covas,525,Vila Industrial,Avaré,18705-851,(14) 3732-4900,( ) -,avare_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=%C1GUAS%20DE%20SANTA%20B%C1RBARA
3500600,Águas de São Pedro,ÁGUAS DE SÃO PEDRO,Agência Ambiental de Piracicaba,Rua do Rosário,566,Centro,Piracicaba,13400-183,(19) 3402-6863,(19) 3402-6863,piracicaba_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=%C1GUAS%20DE%20S%C3O%20PEDRO
3500709,Agudos,AGUDOS,Agência Ambiental de Bauru,Av. Rodrigues Alves - Quadra 38,138,V. Coralina,Bauru,17030-000,(14) 3203-2058,(14) 3203-2344,bauru_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=AGUDOS
3500758,Alambari,ALAMBARI,Agência Ambiental de Itapetininga,Rua General Carneiro,196,Centro,Itapetininga,18200-024,(15) 3272-2888,(15) 3272-2891,itapetininga_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ALAMBARI
3500808,Alfredo Marcondes,ALFREDO MARCONDES,Agência Ambiental de Presidente Prudente,Rua Joao Gonçalves Foz,1736A,Jardim das Rosas,Presidente Prudente,19060-050,(18) 3223-5001,( ) -,prudente_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ALFREDO%20MARCONDES
3500907,Altair,ALTAIR,Agência Ambiental de Barretos,Rua 30,564,Centro,Barretos,14780-120,(17) 3323-1790,( ) -,barretos_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ALTAIR
3501004,Altinópolis,ALTINÓPOLIS,Agência Ambiental de Ribeirão Preto,Av. Presidente Kennedy,1760,Ribeirânia,Ribeirão Preto,14096-350,(16) 3617-4700,(16) 3617-4207,ribeirao_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ALTIN%D3POLIS
3501103,Alto Alegre,ALTO ALEGRE,Agência Ambiental de Araçatuba,Rua Ten. Alcides Teodoro dos Santos,260,Aviação,Araçatuba,16055-557,(18) 3608-8053,(18) 3608-7197,aracatuba_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ALTO%20ALEGRE
3501152,Alumínio,ALUMÍNIO,Agência Ambiental de Itu,Rua Santa Rita,1165,Centro,Itu,13300-065,(11) 4013-3419,(11) 4013-3419,itu_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ALUM%CDNIO
3501202,Álvares Florence,ÁLVARES FLORENCE,Agência Ambiental de Votuporanga,Av. Deputado Aureo Ferreira,1724,Vila Paes,Votuporanga,15500-112,(17) 3421-4004,(17) 3421-4004,votuporanga_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=%C1LVARES%20FLORENCE
3501301,Álvares Machado,ÁLVARES MACHADO,Agência Ambiental de Presidente Prudente,Rua Joao Gonçalves Foz,1736A,Jardim das Rosas,Presidente Prudente,19060-050,(18) 3223-5001,( ) -,prudente_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=%C1LVARES%20MACHADO
3501400,Álvaro de Carvalho,ÁLVARO DE CARVALHO,Agência Ambiental de Marília,Rua Santa Helena,436,Jd. Alvorada,Marília,17513-322,(14) 3422-4666,(14) 3422-4666,marilia_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=%C1LVARO%20DE%20CARVALHO
3501509,Alvinlândia,ALVINLÂNDIA,Agência Ambiental de Marília,Rua Santa Helena,436,Jd. Alvorada,Marília,17513-322,(14) 3422-4666,(14) 3422-4666,marilia_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ALVINL%C2NDIA
3501608,Americana,AMERICANA,Agência Ambiental de Americana,Rua Florindo Cibin,435,V. Medon,Americana,13465-230,(19) 3461-1550,(19) 3461-1550,americana_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=AMERICANA
3501707,Américo Brasiliense,AMÉRICO BRASILIENSE,Agência Ambiental de Araraquara,Av. Castro Alves,1271,Carmo,Araraquara,14800-140,(16) 3332-2211,(16) 3332-2211,araraquara_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=AM%C9RICO%20BRASILIENSE
3501806,Américo de Campos,AMÉRICO DE CAMPOS,Agência Ambiental de Votuporanga,Av. Deputado Aureo Ferreira,1724,Vila Paes,Votuporanga,15500-112,(17) 3421-4004,(17) 3421-4004,votuporanga_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=AM%C9RICO%20DE%20CAMPOS
3501905,Amparo,AMPARO,Agência Ambiental de Paulínia,Rua Angelo Varandas,550,Jd. Santa Terezinha,Paulínia,13140-802,(19) 3844-0466,(19) 3844-0466,paulinia_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=AMPARO
3502002,Analândia,ANALÂNDIA,Agência Ambiental de Piracicaba,Rua do Rosário,566,Centro,Piracicaba,13400-183,(19) 3402-6863,(19) 3402-6863,piracicaba_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ANAL%C2NDIA
3502101,Andradina,ANDRADINA,Agência Ambiental de Dracena,Rua Tomé de Souza,438,Centro,Dracena,17900-000,(18) 3822-3166,(18) 3822-3166,dracena_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ANDRADINA
3502200,Angatuba,ANGATUBA,Agência Ambiental de Itapetininga,Rua General Carneiro,196,Centro,Itapetininga,18200-024,(15) 3272-2888,(15) 3272-2891,itapetininga_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ANGATUBA
3502309,Anhembi,ANHEMBI,Agência Ambiental de Botucatu,Rua Lourenço Carmelo,180,Jardim Paraíso,Botucatu,18610-265,(14) 3882-1134,(14) 3882-1134,botucatu_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ANHEMBI
3502408,Anhumas,ANHUMAS,Agência Ambiental de Presidente Prudente,Rua Joao Gonçalves Foz,1736A,Jardim das Rosas,Presidente Prudente,19060-050,(18) 3223-5001,( ) -,prudente_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ANHUMAS
